,text
4187,"Value for money purchase, noise cancellation could be better. Sound quality is decent"
4188,"Sound quality is good but while in call,the bluetooth connectivity seems poor,voice changes"
4189,Problems not Solution and product damage.
4190,"Look wise good, Sound quality is bad good for calling not meant listening music bass quality is poor"
4191,Good sound quality And BassBettry bukp good 👍Thanku for Boat and Amazon 😊
4192,Lovely airpods
4193,
4194,It is not working . Kindly replace
4195,Worst product my earbuds are not working
4196,Good quality
4197,Simply waste within 4 month one side not working I applied for replacement by warranty nobody came to pick up for replacement I am totally disappointed bcoz I purchase only boat rockers company first time i am disappointed due to replacement process I want new one if anybody can make my replacement process please do it soon
4198,It is working good
4199,good
4200,"Sound quality ok, but speaking time Eco voice in opposite side, voice break."
4201,Hate this product . It is waste od money . My earphones stopped working within a month.
4202,I like it  I'm using this. Making food 😜😜
4203,"                    The media could not be loaded.
                "
4204,"Bad experience in first week: In voice calls, person at other end was not able to hear my voice clear and loud. They said they heard a very low voice.I got this compliant during all my office calls done through laptop or phone."
4205,After 3 months one unit is not working.Sound quality is excellent but not for calls.Receiving power was not at all up-to mark.Noise reduction was pathetic
4206,"The Quality is not good of Airpodes , as it stopping working after 1-2 month"
4207,Waste product..sound calrity was not good .
4208,Licke
4209,Really this much price it was so good.just love 💕 it
4210,"Am satisfied with this product,good sound quality"
4211,"Boats airpodes not working ,want to replace it"
4212,Best sound quality
4213,Good product to buy. We recommend
4214,Liked
4215,Very nice
4216,This airdops quality is good at this price.
4217,Not possible to operate if u have a two wheeler while driving with helmet. My suggestion is plz go for neck band.
4218,"It's really-really good if you need my opinion , so buy it ."
4219,I buy this product for the price of 999/-.in this amount this is good airdopes.bluetooth connectivity not up to the mark with in secs it disconnected and connected you can observe this during the listening song and watching movie.song quality and base good.MAIN DRAWBACK:-If you get call during the listening.just pause the music and didn't ring the mobile ringtone.just it give single tone sometimes you can not notice .
